date,deep_work_h,learning_h,practice_h,routine_h,leisure_h,leaks_h,total_h,rating,habit_stacking,exercise_nutrition,mindset,relationship,pseudo_productivity,anger,dft_status,wins,adherence_pct,task_done,task_total,leak_pct,skipped_h
2026-03-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-03-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-03-18,2.50,1.00,1.50,0.50,2.00,0.75,8.25,,,,,,,,,0,100,,,9,7.75
2026-03-19,3.00,2.50,3.00,2.75,2.25,1.50,15.00,,,,,,,,,0,100,,,10,1.00
2026-03-20,4.50,0.50,1.75,3.25,1.25,1.00,12.25,,,,,,,,,0,67,,,8,3.75
2026-03-21,2.00,0.50,0.50,5.00,2.25,1.25,11.50,,,,,,,,,0,67,,,11,4.50
2026-03-22,0.00,1.50,2.25,2.00,9.50,0.50,15.75,,,,,,,,,0,67,,,3,0.25
2026-03-23,2.50,0.00,3.00,1.50,6.75,0.25,14.00,,,,,,,,,0,67,,,2,2.00
2026-03-24,1.00,0.00,4.00,2.25,0.25,0.00,7.50,,,,,,,,,0,33,,,0,8.50
2026-03-25,1.50,0.00,4.50,1.25,0.50,0.00,7.75,,,,,,,,,0,33,,,0,8.25
2026-03-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-03-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-03-28,0.50,0.00,1.00,0.00,1.50,0.00,3.00,,,,,,,,,0,33,,,0,13.00
2026-03-29,1.50,0.00,0.50,0.50,0.50,0.50,3.50,,,,,,,,skipped,0,33,,,14,12.50
2026-03-30,5.08,2.00,1.75,5.25,1.75,0.42,16.25,,,,,,,,,0,100,,,3,0.00
2026-03-31,0.00,0.00,6.00,9.50,1.00,0.50,17.00,,,,,,,,,0,33,,,3,0.00
2026-04-01,4.25,0.00,2.00,6.25,1.00,0.25,13.75,,,,,,,,done,0,67,,,2,2.25
2026-04-02,2.00,0.00,3.50,6.50,0.50,1.00,13.50,,,,,,,,,1,67,,,7,2.50
2026-04-03,2.50,0.00,2.00,2.00,0.50,0.25,7.25,,,,,,,,,0,67,,,3,8.75
2026-04-04,2.00,0.00,3.25,1.00,0.50,0.00,6.75,,,,,,,,,0,67,,,0,9.25
2026-04-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
2026-04-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,0,0,,,,16.00
